surah_id,arabic,latin,english,types
1,سورة الفاتحة,Al-Fatiha,The Opening,Makiyah
2,سورة البقرة,Al-Baqara,The Cow,Madaniyah
3,سورة آل عمران,Aal-e-Imran,The family of Imran,Madaniyah
4,سورة النساء,An-Nisa,The Women,Madaniyah
5,سورة المائدة,Al-Maeda,The Table Spread,Madaniyah
6,سورة الأنعام,Al-Anaam,The cattle,Makiyah
7,سورة الأعراف,Al-Araf,The heights,Makiyah
8,سورة الأنفال,Al-Anfal,"Spoils of war, booty",Madaniyah
9,سورة التوبة,At-Taubah,Repentance,Madaniyah
10,سورة يونس,Yunus,Jonah,Makiyah
11,سورة هود,Hud,Hud,Makiyah
12,سورة يوسف,Yusuf,Joseph,Makiyah
13,سورة الرعد,Ar-Rad,The Thunder,Madaniyah
14,سورة إبراهيم,Ibrahim,Abraham,Makiyah
15,سورة الحجر,Al-Hijr,"Stoneland, Rock city, Al-Hijr valley",Makiyah
16,سورة النحل,An-Nahl,The Bee,Makiyah
17,سورة الإسراء,Al-Isra,The night journey,Makiyah
18,سورة الكهف,Al-Kahf,The cave,Makiyah
19,سورة مريم,Maryam,Mary,Makiyah
20,سورة طه,Taha,Taha,Makiyah
21,سورة الأنبياء,Al-Anbiya,The Prophets,Makiyah
22,سورة الحج,Al-Hajj,The Pilgrimage,Madaniyah
23,سورة المؤمنون,Al-Mumenoon,The Believers,Makiyah
24,سورة النور,An-Noor,The Light,Madaniyah
25,سورة الفرقان,Al-Furqan,The Standard,Makiyah
26,سورة الشعراء,Ash-Shuara,The Poets,Makiyah
27,سورة النمل,An-Naml,THE ANT,Makiyah
28,سورة القصص,Al-Qasas,The Story,Makiyah
29,سورة العنكبوت,Al-Ankaboot,The Spider,Makiyah
30,سورة الروم,Ar-Room,The Romans,Makiyah
31,سورة لقمان,Luqman,Luqman,Makiyah
32,سورة السجدة,As-Sajda,The Prostration,Makiyah
33,سورة الأحزاب,Al-Ahzab,The Coalition,Madaniyah
34,سورة سبأ,Saba,Saba,Makiyah
35,سورة فاطر,Fatir,Originator,Makiyah
36,سورة يس,Ya Seen,Ya Seen,Makiyah
37,سورة الصافات,As-Saaffat,Those who set the ranks,Makiyah
38,سورة ص,Sad,Sad,Makiyah
39,سورة الزمر,Az-Zumar,The Troops,Makiyah
40,سورة غافر,Ghafir,The Forgiver,Makiyah
41,سورة فصلت,Fussilat,Explained in detail,Makiyah
42,سورة الشورى,Ash-Shura,"Council, Consultation",Makiyah
43,سورة الزخرف,Az-Zukhruf,Ornaments of Gold,Makiyah
44,سورة الدخان,Ad-Dukhan,The Smoke,Makiyah
45,سورة الجاثية,Al-Jathiya,Crouching,Makiyah
46,سورة الأحقاف,Al-Ahqaf,The wind-curved sandhills,Makiyah
