Surah,arabic,latin,NameEng,types
1,سورة الفاتحة,Al-Fatiha,The Opening,Makiyah
2,سورة البقرة,Al-Baqara,The Cow,Madaniyah
3,سورة آل عمران,Aal-e-Imran,The Family of Imraan,Madaniyah
4,سورة النساء,An-Nisa,The Women,Madaniyah
5,سورة المائدة,Al-Maeda,The Table,Madaniyah
6,سورة الأنعام,Al-Anaam,The Cattle,Makiyah
7,سورة الأعراف,Al-Araf,The Heights,Makiyah
8,سورة الأنفال,Al-Anfal,The Spoils of War,Madaniyah
9,سورة التوبة,At-Taubah,The Repentance,Madaniyah
10,سورة يونس,Yunus,Jonas,Makiyah
11,سورة هود,Hud,Hud,Makiyah
12,سورة يوسف,Yusuf,Joseph,Makiyah
13,سورة الرعد,Ar-Rad,The Thunder,Madaniyah
14,سورة إبراهيم,Ibrahim,Abraham,Makiyah
15,سورة الحجر,Al-Hijr,The Rock,Makiyah
16,سورة النحل,An-Nahl,The Bee,Makiyah
17,سورة الإسراء,Al-Isra,The Night Journey,Makiyah
18,سورة الكهف,Al-Kahf,The Cave,Makiyah
19,سورة مريم,Maryam,Mary,Makiyah
20,سورة طه,Taha,Taa-Haa,Makiyah
21,سورة الأنبياء,Al-Anbiya,The Prophets,Makiyah
22,سورة الحج,Al-Hajj,The Pilgrimage,Madaniyah
23,سورة المؤمنون,Al-Mumenoon,The Believers,Makiyah
24,سورة النور,An-Noor,The Light,Madaniyah
25,سورة الفرقان,Al-Furqan,The Criterion,Makiyah
26,سورة الشعراء,Ash-Shuara,The Poets,Makiyah
27,سورة النمل,An-Naml,The Ant,Makiyah
28,سورة القصص,Al-Qasas,The Stories,Makiyah
29,سورة العنكبوت,Al-Ankaboot,The Spider,Makiyah
30,سورة الروم,Ar-Room,The Romans,Makiyah
31,سورة لقمان,Luqman,Luqman,Makiyah
32,سورة السجدة,As-Sajda,The Prostration,Makiyah
33,سورة الأحزاب,Al-Ahzab,The Clans,Madaniyah
34,سورة سبأ,Saba,Sheba,Makiyah
35,سورة فاطر,Fatir,The Originator,Makiyah
36,سورة يس,Ya Seen,Yaseen,Makiyah
37,سورة الصافات,As-Saaffat,Those drawn up in Ranks,Makiyah
38,سورة ص,Sad,The letter Saad,Makiyah
39,سورة الزمر,Az-Zumar,The Groups,Makiyah
40,سورة غافر,Ghafir,The Forgiver,Makiyah
41,سورة فصلت,Fussilat,Explained in detail,Makiyah
42,سورة الشورى,Ash-Shura,Consultation,Makiyah
43,سورة الزخرف,Az-Zukhruf,Ornaments of gold,Makiyah
44,سورة الدخان,Ad-Dukhan,The Smoke,Makiyah
45,سورة الجاثية,Al-Jathiya,Crouching,Makiyah
46,سورة الأحقاف,Al-Ahqaf,The Dunes,Makiyah
